Query,Source,Papers,Citations,Years,Cites_Year,Cites_Paper,Cites_Author,Papers_Author,Authors_Paper,h_index,g_index,hc_index,hI_index,hI_norm,AWCR,AW_index,AWCRpA,e_index,hm_index,QueryDate,Cites_Author_Year,hI_annual,h_coverage,g_coverage,star_count,year_first,year_last,ECC,acc1,acc2,acc5,acc20,hA
"Shishir R. Adhikari - Postdoctoral Research Fellow at Harvard Medical School and Dana Farber Cancer Institute","Google Scholar Profile",12,80,14,5.71,6.67,19.99,4.95,3.50,5,8,4,1.14,3,15.56,3.94,3.37,7.21,1.66,"2025-08-05 12:39:07",1.42,0.21,96.3,100.0,0,2011,2023,80,4,3,1,0,3
"Yanyan Zhao - Postdoc, Bioengineering department, Stanford University","Google Scholar Profile",7,82,6,13.67,11.71,12.00,2.64,4.43,3,7,3,0.41,2,26.50,5.15,3.63,8.49,0.97,"2025-08-05 12:39:08",2.00,0.33,98.8,100.0,1,2019,2024,82,3,3,1,0,3
"Apoorv Verma - Postdoc, University of California Merced","Google Scholar Profile",5,84,7,12.00,16.80,16.16,1.67,5.00,3,5,3,0.53,2,19.81,4.45,3.61,8.37,1.68,"2025-08-05 12:39:08",2.30,0.29,94.0,100.0,1,2018,2022,84,3,3,1,0,2
"Sajad Shiekh - Postdoc, McGill University","Google Scholar Profile",20,84,4,21.00,4.20,16.52,4.57,5.45,6,9,7,1.03,2,41.17,6.42,9.46,6.32,1.45,"2025-08-05 12:39:08",4.13,0.50,90.5,97.6,1,2021,2025,84,9,7,2,0,4
"Laura Wilt Partyka (she/her) - Postdoctoral Research Associate","Google Scholar Profile",11,85,12,7.08,7.73,19.65,3.36,4.00,5,9,5,0.96,3,14.45,3.80,3.06,7.75,1.07,"2025-08-05 12:39:09",1.63,0.25,100.0,100.0,0,2013,2022,85,5,5,0,0,3
"Kee-Myoung Nam - Postdoctoral Research Associate, Yale University","Google Scholar Profile",19,86,5,17.20,4.53,24.65,5.49,4.63,4,9,6,1.14,3,36.57,6.05,10.09,7.75,1.52,"2025-08-05 12:39:09",4.93,0.60,88.4,100.0,0,2020,2025,86,7,6,3,0,4
"Shivlee Nirwal - Post-doctoral researcher, International institute of molecular and cell biology, Warsaw, Poland","Google Scholar Profile",10,88,11,8.00,8.80,15.05,2.05,5.60,6,9,6,0.95,2,27.70,5.26,4.55,6.93,1.21,"2025-08-05 12:39:09",1.36,0.18,95.5,100.0,1,2014,2025,88,6,5,2,0,3
"Neha Tyagi - Post-doctoral research associate, Northwestern University","Google Scholar Profile",9,88,8,11.00,9.78,44.00,4.75,2.11,3,9,3,1.50,2,12.31,3.51,6.16,8.49,2.00,"2025-08-05 12:39:10",5.50,0.25,92.0,100.0,0,2017,2025,88,2,1,1,0,2
"Erik Nordquist - Postdoc, University of Maryland, Baltimore","Google Scholar Profile",15,88,5,17.60,5.87,20.33,3.85,4.47,6,9,7,1.33,3,37.97,6.16,9.43,6.48,1.84,"2025-08-05 12:39:10",4.06,0.60,88.6,100.0,1,2020,2025,88,9,7,3,0,4
"Ritika Gupta - Post doctoral associate at Clemson University","Google Scholar Profile",13,89,6,14.83,6.85,19.14,3.12,4.85,6,9,7,1.13,3,28.03,5.29,6.49,6.86,1.68,"2025-08-05 12:39:10",3.19,0.50,93.3,100.0,0,2019,2025,89,7,7,2,0,4
"Leyla Rohani - Post Doctoral Associate @ Georgia State Unicersity PhD Biophysics","Google Scholar Profile",12,90,10,9.00,7.50,23.40,4.95,3.42,6,9,5,1.50,3,15.65,3.96,4.30,6.86,1.95,"2025-08-05 12:39:10",2.34,0.30,92.2,100.0,0,2015,2023,90,6,4,0,0,3
"Jhinuk Saha - Postdoctoral researcher, National High Magnetic Field Laboratory","Google Scholar Profile",16,91,8,11.38,5.69,15.41,3.79,5.44,7,9,6,1.20,2,23.30,4.83,3.96,5.57,1.55,"2025-08-05 12:39:11",1.92,0.25,87.9,100.0,0,2017,2025,91,9,6,0,0,3
"Mengqi Xu - Postdoctoral Researcher, University of Pennsylvania","Google Scholar Profile",10,92,6,15.33,9.20,22.00,2.72,5.00,2,9,2,0.40,2,25.40,5.04,5.35,9.27,0.67,"2025-08-05 12:39:11",3.66,0.33,97.8,100.0,2,2019,2024,92,2,2,2,0,2
"Souvik Sadhukhan (Ph.D.) - Postdoc at The University of Texas at Austin","Google Scholar Profile",8,92,4,23.00,11.50,32.63,2.39,4.13,5,8,7,1.25,3,58.42,7.64,15.84,7.75,1.73,"2025-08-05 12:39:11",8.15,0.75,92.4,100.0,2,2021,2025,92,7,7,6,0,5
"Giulia Peveri - Postdoc, Human Technopole","Google Scholar Profile",7,93,4,23.25,13.29,28.05,2.70,3.29,4,7,7,1.14,4,32.33,5.69,10.32,8.12,2.70,"2025-08-05 12:39:12",7.01,1.00,88.2,100.0,1,2021,2025,93,6,6,3,0,3
"Prasoon Awasthi - PostDoc at SDU Denmark","Google Scholar Profile",12,93,9,10.33,7.75,31.60,3.52,3.92,4,9,4,1.00,3,15.85,3.98,5.26,8.49,1.90,"2025-08-05 12:39:12",3.51,0.33,94.6,100.0,0,2016,2025,93,5,4,1,0,3
"Irene Gutiérrez - Postdoc, Research Institute of Molecular Pathology","Google Scholar Profile",9,96,38,2.53,10.67,20.53,2.65,4.67,5,9,3,0.96,3,9.00,3.00,1.88,8.12,1.32,"2025-08-05 12:39:12",0.54,0.08,94.8,100.0,0,1987,2023,96,3,2,0,0,2
"Ran Lin - Postdoc Fellow, the University of Texas at Austin","Google Scholar Profile",11,99,9,11.00,9.00,17.89,3.69,4.36,5,9,5,0.89,3,16.78,4.10,3.63,8.19,1.69,"2025-08-05 12:39:13",1.98,0.33,92.9,100.0,0,2016,2025,99,8,4,0,0,3
"Revan Katte - Postdoctoral Research Associate at University of Texas Health Science Center at Tyler","Google Scholar Profile",13,100,10,10.00,7.69,25.09,3.48,5.54,6,10,6,1.06,3,32.19,5.67,6.13,7.35,1.79,"2025-08-05 12:39:13",2.50,0.30,90.0,100.0,1,2015,2025,100,7,6,3,0,3
"Julio M. Pusterla - Postdoc researcher, Technical University of Darmstadt","Google Scholar Profile",17,103,10,10.30,6.06,19.48,4.29,4.94,5,10,4,0.83,2,24.08,4.91,4.25,8.00,1.80,"2025-08-05 12:39:13",1.94,0.20,86.4,100.0,0,2015,2024,103,7,4,3,0,3
"Arpita Roychoudhury - post doctoral research fellow, IISER pune","Google Scholar Profile",9,103,14,7.36,11.44,29.03,2.42,4.11,3,9,3,0.75,3,9.21,3.03,2.50,9.54,1.03,"2025-08-05 12:39:14",2.07,0.21,97.1,100.0,0,2011,2018,103,3,3,0,0,2
"Justin Faber - Postdoctoral Researcher at UCLA","Google Scholar Profile",15,105,12,8.75,7.00,46.70,6.73,2.60,7,10,8,2.88,4,30.69,5.54,13.20,6.78,3.50,"2025-08-05 12:39:14",3.89,0.33,90.5,99.0,0,2013,2025,105,10,8,2,0,3
"Simone Mortal - Postdoctoral Researcher, ICFO, Barcelona","Google Scholar Profile",12,107,9,11.89,8.92,25.71,3.50,5.75,6,10,6,1.00,3,27.87,5.28,6.58,8.00,1.88,"2025-08-05 12:39:14",2.85,0.33,93.5,100.0,0,2016,2024,107,8,6,3,0,3
"Filipe Henrique - Postdoctoral Researcher, Princeton University","Google Scholar Profile",14,109,3,36.33,7.79,36.50,5.00,2.93,5,10,5,1.67,4,48.33,6.95,16.28,9.11,1.67,"2025-08-05 12:39:14",12.16,1.33,99.1,100.0,2,2022,2025,109,6,5,5,0,5
"Lijian Zhan - Postdoc, Adolphe Merkle Institute, University of Fribourg, Switzerland","Google Scholar Profile",13,111,10,11.10,8.54,16.47,2.35,6.38,7,10,7,0.98,3,36.83,6.07,5.15,7.21,1.54,"2025-08-05 12:39:15",1.64,0.30,91.0,100.0,0,2015,2025,111,9,7,3,0,4
"Theresa Jakuszeit - Post-doctoral fellow, Institut Curie/Institut Pierre Gilles de Gennes","Google Scholar Profile",11,113,10,11.30,10.27,32.25,3.18,5.18,5,10,6,1.09,3,31.20,5.59,9.89,9.11,1.79,"2025-08-05 12:39:15",3.22,0.30,95.6,100.0,0,2015,2025,113,6,6,2,0,4
"Bernardo J. Zubillaga - Postdoctoral Research Associate, Northeastern University","Google Scholar Profile",13,117,6,19.50,9.00,21.07,4.20,4.54,5,10,5,0.89,4,49.27,7.02,9.27,9.49,0.90,"2025-08-05 12:39:15",3.51,0.67,98.3,100.0,1,2019,2025,117,5,5,4,1,4
"Suparna Khatun - Postdoctoral Research Fellow @Kriwacki lab, St. Jude Children’s Research Hospital","Google Scholar Profile",18,118,6,19.67,6.56,28.81,4.78,4.72,8,10,7,1.88,3,28.38,5.33,6.56,6.24,2.42,"2025-08-05 12:39:16",4.80,0.50,87.3,97.5,0,2019,2025,118,11,7,1,0,3
"Priyanka Madhu - Postdoctoral researcher at Department of Chemistry - BMC, Uppsala University, Uppsala, Sweden","Google Scholar Profile",14,120,6,20.00,8.57,45.00,4.24,4.64,6,10,5,1.71,4,28.03,5.29,10.53,8.89,2.18,"2025-08-05 12:39:16",7.50,0.67,95.8,100.0,1,2019,2025,120,7,5,2,0,3
"Mohammad Zaffar - Post Doctoral Research Associate, Purdue University","Google Scholar Profile",14,124,9,13.78,8.86,56.58,6.62,2.64,5,11,5,1.92,4,22.86,4.78,10.90,9.17,2.83,"2025-08-05 12:39:16",6.28,0.44,87.9,100.0,0,2016,2024,124,5,4,1,0,3
"Philip Bleicher - PostDoc at NHLBI, NIH","Google Scholar Profile",10,127,8,15.88,12.70,24.23,2.24,5.30,4,10,4,0.76,2,21.32,4.62,4.44,10.44,0.87,"2025-08-05 12:39:17",3.02,0.25,98.4,100.0,1,2017,2024,127,4,3,2,0,3
"Dario Saczko-Brack - PostDoc at Ludwig-Maximilians-Universität Munich","Google Scholar Profile",10,128,11,11.64,12.80,22.02,2.53,5.60,4,10,4,0.64,3,14.45,3.80,2.50,10.58,0.65,"2025-08-05 12:39:17",2.00,0.27,100.0,100.0,0,2014,2025,128,4,4,1,0,3
"Valentin Slepukhin - Postdoctoral researcher, Department of Physics and Earth Sciences, Leipzig University","Google Scholar Profile",21,133,12,11.08,6.33,40.27,7.38,3.71,6,11,4,1.44,2,23.23,4.82,6.52,9.27,2.23,"2025-08-05 12:39:17",3.35,0.17,91.7,100.0,0,2013,2025,133,6,4,2,0,3
"Amir Shee - Postdoctoral Research Associate, University of Vermont","Google Scholar Profile",19,136,8,17.00,7.16,39.92,7.25,3.58,7,11,9,1.88,4,70.43,8.39,17.53,8.72,2.70,"2025-08-05 12:39:18",4.99,0.50,91.9,99.3,1,2017,2025,136,11,9,4,1,4
"Ana Patrícia Ramos - postdoctoral researcher at Gulbenkian Science Institute","Google Scholar Profile",12,138,13,10.62,11.50,24.83,3.84,5.00,4,11,5,0.62,3,24.22,4.92,4.06,10.68,1.76,"2025-08-05 12:39:18",1.91,0.23,94.2,100.0,0,2012,2024,138,5,4,2,0,4
"Tongyin Zheng - Postdoc Reseach Associate, Brown University","Google Scholar Profile",10,141,12,11.75,14.10,37.30,2.21,5.10,7,10,8,1.40,3,55.38,7.44,12.90,9.11,1.96,"2025-08-05 12:39:18",3.10,0.25,93.6,100.0,1,2013,2025,141,9,8,5,0,5
"Xiaobing Chen - Postdoctoral researcher, University of Texas at Austin","Google Scholar Profile",15,152,9,16.89,10.13,47.04,4.61,4.33,8,12,9,2.00,4,54.99,7.42,16.95,8.37,2.98,"2025-08-05 12:39:19",5.22,0.44,88.2,98.7,1,2016,2025,152,13,10,5,0,5
"Anders Utoft - Postdoc. University of Southern Denmark","Google Scholar Profile",12,153,10,15.30,12.75,35.81,3.92,4.33,6,12,6,1.29,5,20.65,4.54,4.91,10.54,2.05,"2025-08-05 12:39:19",3.58,0.50,96.1,100.0,0,2015,2023,153,6,6,0,0,4
"Claudio Hernández-López - Postdoctoral researcher, AMOLF","Google Scholar Profile",6,161,3,53.67,26.83,24.56,1.99,4.83,3,6,3,0.50,3,70.17,8.38,11.40,12.33,0.51,"2025-08-05 12:39:19",8.18,1.00,100.0,100.0,2,2022,2024,161,3,3,3,2,3
"WANG TINGTING - Postdoctoral Researcher of Computational Structural Biology Research Team, RIKEN","Google Scholar Profile",14,162,5,32.40,11.57,23.27,2.45,6.57,6,12,8,0.84,3,67.72,8.23,10.08,10.44,2.00,"2025-08-05 12:39:20",4.65,0.60,89.5,100.0,3,2020,2025,162,11,10,5,0,5
"André Luis Lira - Postdoctoral Research Fellow - Oregon Health and Science University (OHSU)","Google Scholar Profile",21,166,9,18.44,7.90,29.31,5.50,5.43,7,12,7,1.29,4,45.96,6.78,7.90,10.58,1.53,"2025-08-05 12:39:20",3.25,0.44,97.0,100.0,1,2016,2025,166,9,7,4,0,4
"Sean Fancher - Postdoctoral Researcher, University of Pennsylvania","Google Scholar Profile",25,167,11,15.18,6.68,61.70,9.40,3.12,7,12,6,2.13,4,27.78,5.27,10.39,10.15,3.12,"2025-08-05 12:39:20",5.60,0.36,91.0,100.0,0,2014,2024,167,10,6,1,0,3
"Haozhen Wang - Postdoc, Stanford University","Google Scholar Profile",5,171,4,42.75,34.20,23.06,0.77,6.80,4,5,4,0.55,3,51.33,7.16,6.91,12.45,0.56,"2025-08-05 12:39:20",5.76,0.75,100.0,100.0,3,2021,2025,171,4,4,3,1,4
"Stefano Sala - postdoctoral researcher, Loyola University Chicago","Google Scholar Profile",23,174,8,21.75,7.57,52.95,6.57,4.87,7,13,8,1.26,3,77.97,8.83,18.24,10.34,2.80,"2025-08-05 12:39:21",6.61,0.38,89.7,100.0,1,2017,2025,174,10,8,6,1,5
"Marc Rico-Pasto - Postdoc Researcher, IBEC","Google Scholar Profile",18,180,11,16.36,10.00,40.61,7.19,3.67,7,13,8,1.58,4,48.88,6.99,11.22,10.82,2.35,"2025-08-05 12:39:21",3.69,0.36,92.2,100.0,2,2014,2025,180,10,9,2,0,4
"Sakib Matin - Postdoc, Los Alamos National Laboratory","Google Scholar Profile",23,194,6,32.33,8.43,40.94,5.03,6.04,7,13,10,1.29,4,92.18,9.60,15.29,10.91,2.39,"2025-08-05 12:39:21",6.82,0.67,86.6,99.5,3,2019,2025,194,11,10,6,1,6
"Alexey Romshin - Postdoc, GPI RAS","Google Scholar Profile",42,200,13,15.38,4.76,34.34,7.56,5.71,9,13,11,1.56,3,69.59,8.34,11.73,9.06,2.54,"2025-08-05 12:39:22",2.64,0.23,81.5,92.5,1,2012,2025,200,18,14,4,0,5
"Manish Kumar - Postdoc Researcher at University of Wisconsin-Madison","Google Scholar Profile",22,204,7,29.14,9.27,70.62,9.32,2.73,7,14,9,2.33,4,59.58,7.72,20.67,11.75,3.37,"2025-08-05 12:39:22",10.08,0.57,91.7,100.0,2,2018,2025,204,11,10,4,0,4
"Aldeliane Maria Da Silva - Postdoctoral Researcher, University of Oulu","Google Scholar Profile",14,210,9,23.33,15.00,35.70,4.36,5.00,6,14,6,1.00,3,40.93,6.40,6.87,13.08,1.18,"2025-08-05 12:39:22",3.96,0.33,98.6,100.0,1,2016,2025,210,7,6,3,0,4
"Kelsey Hallinen - Post Doc, Princeton University","Google Scholar Profile",17,216,13,16.62,12.71,54.74,6.45,3.71,5,14,5,1.25,4,42.52,6.52,9.55,13.64,1.79,"2025-08-05 12:39:23",4.21,0.31,97.7,100.0,2,2012,2025,216,7,5,2,0,3
"Jonathan A. Jackson - Postdoc, Max Planck Institute of Molecular Cell Biology and Genetics","Google Scholar Profile",7,220,7,31.43,31.43,35.58,1.30,6.00,5,7,6,0.81,3,55.62,7.46,9.33,13.82,1.31,"2025-08-05 12:39:23",5.08,0.43,98.2,100.0,2,2018,2024,220,7,6,5,0,5
"Ligesh Theeyancheri - Postdoctoral Research Associate, Syracuse University","Google Scholar Profile",16,223,6,37.17,13.94,55.67,4.16,4.00,9,14,10,2.25,5,67.30,8.20,17.30,11.45,2.67,"2025-08-05 12:39:23",9.27,0.83,95.1,100.0,1,2019,2025,223,11,10,7,0,6
"Malina K. Iwanski - Postdoc, Human Technopole","Google Scholar Profile",12,225,6,37.50,18.75,45.16,4.17,4.75,6,12,8,1.06,3,109.08,10.44,22.11,13.45,1.80,"2025-08-05 12:39:24",7.52,0.50,96.4,100.0,3,2019,2025,225,9,8,4,1,4
"Vanessa Weichselberger - Postdoc EMBL","Google Scholar Profile",12,234,9,26.00,19.50,39.95,3.29,5.08,5,12,5,0.93,3,44.25,6.65,7.63,14.32,1.26,"2025-08-05 12:39:24",4.43,0.33,98.3,100.0,2,2016,2025,234,5,5,3,0,4
"Md. Abdullah Al Sazzad - Post-doc Researcher, Abo Akademi University","Google Scholar Profile",18,239,10,23.90,13.28,57.07,4.66,4.33,8,15,7,1.68,5,31.49,5.61,7.30,12.73,2.38,"2025-08-05 12:39:24",5.70,0.50,94.6,100.0,0,2015,2025,239,10,7,1,0,4
"Julia R Rogers - Postdoc, Department of Systems Biology, Columbia University","Google Scholar Profile",17,242,10,24.20,14.24,63.19,6.38,3.47,8,15,8,1.94,6,45.61,6.75,13.62,13.27,2.40,"2025-08-05 12:39:25",6.31,0.60,99.2,100.0,0,2015,2025,242,8,8,5,0,5
"Joshua Javor - Postdoc Student at Boston University","Google Scholar Profile",29,247,11,22.45,8.52,56.11,9.38,4.55,9,15,9,1.59,5,47.51,6.89,10.05,11.53,3.14,"2025-08-05 12:39:25",5.10,0.45,86.6,97.6,0,2014,2025,247,13,9,4,0,4
"Anoop Vadakan Cherian - Postdoctoral Research Scientist","Google Scholar Profile",25,250,17,14.71,10.00,57.41,5.52,5.56,6,15,6,1.20,5,36.39,6.03,7.28,14.59,1.43,"2025-08-05 12:39:25",3.37,0.29,99.6,100.0,1,2008,2025,250,7,4,3,0,4
"Alessandro Sicorello - Postdoctoral Research Fellow, University College London","Google Scholar Profile",8,257,16,16.06,32.13,42.00,2.17,5.38,7,8,7,1.17,4,36.36,6.03,6.01,14.42,1.18,"2025-08-05 12:39:26",2.62,0.25,100.0,100.0,0,2009,2021,257,7,7,4,0,4
"Janmejaya Rout - Postdoctoral Researcher, Indian Institute of Technology, Bombay","Google Scholar Profile",19,258,7,36.86,13.58,58.10,4.53,4.74,8,16,8,1.56,5,60.25,7.76,13.68,13.56,2.18,"2025-08-05 12:39:26",8.30,0.71,96.1,100.0,1,2018,2024,258,9,8,7,0,6
"Tapojyoti Das - Postdoctoral Research Associate, St. Jude Children's Research Hospital","Google Scholar Profile",20,261,30,8.70,13.05,73.72,5.60,5.05,8,16,8,1.39,4,58.01,7.62,14.31,12.96,2.81,"2025-08-05 12:39:26",2.45,0.13,88.9,99.6,2,1995,2025,261,12,8,3,0,5
"Giancarlo Abis - postdoctoral research associate","Google Scholar Profile",18,263,6,43.83,14.61,44.65,4.70,5.67,9,16,9,1.45,3,74.08,8.61,12.02,12.81,2.08,"2025-08-05 12:39:27",7.44,0.50,93.2,100.0,3,2019,2025,263,12,10,5,0,5
"Feyza Nur Arslan - postdoctoral researcher, EPFL","Google Scholar Profile",6,264,4,66.00,44.00,55.61,2.01,4.50,5,6,5,0.96,4,84.50,9.19,17.20,15.46,1.01,"2025-08-05 12:39:27",13.90,1.00,100.0,100.0,4,2021,2024,264,5,5,5,2,5
"Dina Zhabinskaya - Postdoctoral researcher, UC Davis","Google Scholar Profile",14,268,22,12.18,19.14,91.74,6.76,3.14,8,14,6,2.29,7,23.30,4.83,7.37,14.25,2.95,"2025-08-05 12:39:27",4.17,0.32,99.6,100.0,0,2003,2017,268,8,6,1,0,3
"Jonathan Mount - Postdoctoral Research Associate, Weill Cornell Medical College","Google Scholar Profile",19,270,7,38.57,14.21,41.64,3.68,6.58,6,16,8,0.86,3,70.81,8.41,10.47,14.80,1.30,"2025-08-05 12:39:27",5.94,0.43,94.4,100.0,2,2018,2025,270,9,9,5,1,5
"Shubhangi Agarwal - Post doc in Department of Anesthesiology at Weill Cornell Medicine","Google Scholar Profile",12,275,10,27.50,22.92,39.55,2.29,5.67,7,12,6,1.11,3,54.61,7.39,8.02,14.70,1.79,"2025-08-05 12:39:28",3.95,0.30,96.4,100.0,1,2015,2024,275,9,5,2,1,3
"Alexis MOREAU - Post-Doctoral Associate_MCDB_Yale University","Google Scholar Profile",17,275,7,39.29,16.18,35.16,3.74,6.24,4,16,6,0.50,3,60.31,7.77,8.12,15.75,1.18,"2025-08-05 12:39:28",5.02,0.43,96.0,100.0,3,2018,2025,275,8,6,3,0,4
"Morteza M. Waskasi - Postdoc, Arizona State University","Google Scholar Profile",19,276,15,18.40,14.53,75.98,5.90,3.68,9,16,7,2.45,6,33.09,5.75,9.07,13.15,3.37,"2025-08-05 12:39:28",5.06,0.40,92.0,100.0,0,2010,2024,276,12,6,2,0,3
"Clemens Schulte - Postdoc, Yale University","Google Scholar Profile",26,277,5,55.40,10.65,49.74,5.31,6.23,10,16,13,1.72,4,95.10,9.75,16.98,12.00,2.71,"2025-08-05 12:39:29",9.94,0.80,88.1,98.9,1,2020,2025,277,17,14,8,1,6
"Paolo Beuzer - postdoc, salk institute","Google Scholar Profile",10,279,15,18.60,27.90,45.55,1.80,6.40,7,10,5,1.02,4,35.67,5.97,5.26,14.73,1.65,"2025-08-05 12:39:29",3.03,0.27,95.3,100.0,1,2010,2019,279,6,4,1,1,3
"Marcos Gil-Garcia - PostDoc at ETH Zurich","Google Scholar Profile",24,281,9,31.22,11.71,65.80,6.91,4.83,10,16,10,2.13,5,107.24,10.36,21.57,12.69,3.13,"2025-08-05 12:39:29",7.31,0.56,92.9,100.0,2,2016,2025,281,16,13,6,1,5
"Steven Vanuytsel - Postdoctoral researcher, Imec","Google Scholar Profile",11,289,9,32.11,26.27,53.01,3.13,4.91,5,11,5,0.93,4,39.01,6.25,7.22,16.25,1.01,"2025-08-05 12:39:30",5.89,0.44,100.0,100.0,1,2016,2025,289,5,5,2,0,4
"Marina Berardi Barioni - PostDoc, University of São Paulo","Google Scholar Profile",31,292,18,16.22,9.42,52.07,8.52,4.68,9,17,7,1.53,5,31.62,5.62,5.55,13.82,2.61,"2025-08-05 12:39:30",2.89,0.28,93.2,100.0,0,2007,2019,292,8,6,2,0,3
"Mariia Balatskaia - Post-doctoral Researcher, Institut Jacques Monod, CNRS &Université Paris Cité","Google Scholar Profile",32,294,22,13.36,9.19,62.20,7.68,4.84,9,16,7,1.80,4,33.49,5.79,7.08,12.85,3.23,"2025-08-05 12:39:30",2.82,0.18,83.7,96.3,0,2003,2023,294,11,7,1,0,3
"Andreas Peil - Postdoctoral researcher, 2. Physics Institute, University of Stuttgart; MPI for Solid State Research","Google Scholar Profile",12,294,5,58.80,24.50,40.97,2.87,6.33,6,12,7,0.84,3,133.70,11.56,16.95,15.97,1.13,"2025-08-05 12:39:31",8.19,0.60,99.0,100.0,2,2020,2025,294,7,7,5,1,5
"Vincent Boudreau - Postdoc, UC Berkeley/UCSF","Google Scholar Profile",11,296,8,37.00,26.91,47.82,2.04,5.64,7,11,6,1.17,5,51.64,7.19,8.28,15.68,1.20,"2025-08-05 12:39:31",5.97,0.63,99.7,100.0,1,2017,2024,296,7,6,3,1,5
"Gilia Cristine Marques Ruiz - Postdoc","Google Scholar Profile",29,300,10,30.00,10.34,54.85,7.31,4.93,11,17,10,1.98,4,64.48,8.03,12.15,12.25,2.86,"2025-08-05 12:39:31",5.48,0.40,90.3,99.3,1,2015,2025,300,17,13,5,0,5
"Sunae Kim - Postdoctoral Researcher,Iowa State University","Google Scholar Profile",6,301,16,18.81,50.17,43.51,1.77,5.67,4,6,4,0.59,4,25.77,5.08,3.72,16.88,0.60,"2025-08-05 12:39:31",2.71,0.25,100.0,100.0,0,2009,2016,301,4,4,3,0,3
"SOHINI MUKHERJEE - Postdoctoral researcher at University of Pennsylvania","Google Scholar Profile",18,307,13,23.62,17.06,61.85,4.15,4.94,9,17,6,1.84,5,36.82,6.07,6.97,14.87,2.01,"2025-08-05 12:39:32",4.75,0.38,98.4,100.0,1,2012,2025,307,10,6,2,0,4
"Kazi Amirul Hossain - Postdoctoral researcher","Google Scholar Profile",26,309,7,44.14,11.88,71.93,5.84,5.62,11,17,10,1.95,4,72.63,8.52,15.10,11.40,3.29,"2025-08-05 12:39:32",10.27,0.57,81.2,94.5,0,2018,2025,309,19,15,5,0,5
"Julia Eckert - Postdoctoral Research Fellow, The University of Queensland","Google Scholar Profile",14,310,6,51.67,22.14,68.44,3.82,4.57,7,14,8,1.44,5,112.58,10.61,24.63,15.81,1.88,"2025-08-05 12:39:32",11.40,0.83,96.5,100.0,4,2019,2025,310,11,8,5,2,5
"Jane Frederick - Postdoc, University of Wisconsin-Madison","Google Scholar Profile",31,314,10,31.40,10.13,42.68,6.18,6.87,7,17,9,0.98,5,109.92,10.48,14.59,14.93,1.86,"2025-08-05 12:39:33",4.26,0.50,86.6,99.4,4,2015,2025,314,17,11,6,1,6
"Gabor Nagy - Postdoctoral researcher, Max Planck Institute","Google Scholar Profile",21,325,14,23.21,15.48,89.81,7.78,4.10,9,18,8,2.03,5,51.40,7.17,13.27,14.49,3.87,"2025-08-05 12:39:33",6.41,0.36,89.5,100.0,1,2011,2024,325,12,8,2,0,4
"Dinesh Sundaravadivelu Devarajan - Postdoctoral Researcher, Texas A&M University","Google Scholar Profile",41,331,9,36.78,8.07,71.05,13.95,3.66,9,18,9,1.93,6,164.11,12.81,34.46,15.59,2.63,"2025-08-05 12:39:33",7.89,0.67,97.9,100.0,6,2016,2025,331,11,9,6,2,6
"Dr. Sk Abdul Mohid, Ph.D. - Postdoctoral Research Scholar","Google Scholar Profile",22,335,11,30.45,15.23,61.45,4.69,6.36,11,18,12,1.81,5,80.08,8.95,14.60,13.08,2.96,"2025-08-05 12:39:34",5.58,0.45,87.2,99.1,0,2014,2025,335,17,17,7,0,6
"Gururaj Rao Kidiyoor - Postdoc at NYU school of medicine","Google Scholar Profile",22,343,12,28.58,15.59,60.18,4.46,6.18,8,18,10,1.25,4,80.86,8.99,12.98,15.78,2.12,"2025-08-05 12:39:34",5.01,0.33,91.3,100.0,2,2013,2025,343,14,11,6,0,6
"Andy Lee - Post Doctoral Research Fellow, University of Leeds","Google Scholar Profile",22,345,12,28.75,15.68,69.21,6.36,4.36,8,18,6,1.52,6,49.19,7.01,10.23,16.34,2.33,"2025-08-05 12:39:34",5.76,0.50,95.9,100.0,1,2013,2023,345,10,6,1,1,4
"Po-Ta Chen (陳伯達) - Postdoc, Biophysics, Harvard Medical School","Google Scholar Profile",12,345,12,28.75,28.75,105.85,4.03,3.58,5,12,5,1.39,3,40.42,6.36,11.83,17.89,1.53,"2025-08-05 12:39:35",8.82,0.25,100.0,100.0,2,2013,2025,345,5,5,4,0,5
"Max Kerr Winter - Postdoc, VU/AMOLF","Google Scholar Profile",7,353,10,35.30,50.43,81.30,1.95,4.29,5,7,5,1.25,3,58.23,7.63,15.43,18.03,1.82,"2025-08-05 12:39:35",8.13,0.30,99.2,100.0,2,2015,2025,353,5,5,4,1,4
"Daniel S. Seara - Postdoctoral researcher, UChicago","Google Scholar Profile",12,354,7,50.57,29.50,67.30,3.23,5.00,8,12,9,1.52,5,127.90,11.31,25.60,16.67,2.22,"2025-08-05 12:39:35",9.61,0.71,96.6,100.0,6,2018,2025,354,11,10,7,1,6
"Artu Breuer - Post Doc, University of Copenhagen","Google Scholar Profile",5,359,7,51.29,71.80,52.54,0.80,6.40,4,5,4,0.62,4,81.92,9.05,11.91,18.52,0.63,"2025-08-05 12:39:36",7.50,0.57,100.0,100.0,3,2018,2024,359,4,4,3,2,4
"Karen Palacio-Rodriguez - Postdoc, Max Planck Institute of Biophysics","Google Scholar Profile",16,368,7,52.57,23.00,89.57,4.57,4.44,9,16,8,2.03,5,82.49,9.08,20.63,16.55,2.78,"2025-08-05 12:39:36",12.79,0.71,96.5,100.0,2,2018,2025,368,11,9,6,1,6
